
NOTICE: Existing SQLite export found: report_nsys_v2.sqlite
        It is assumed file was previously exported from: report_nsys_v2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report_nsys_v2.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/nvtx_pushpop_trace.py]... 
Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
1846095880,1846107030,11150,0,11150,:DCtxCreate,189126,189126,0,0,1,,:1,:DCtxCreate
1846108470,1846267522,159052,0,159052,:DCtxSetDevice,189126,189126,0,0,2,,:2,:DCtxSetDevice
1846268202,1846281433,13231,0,13231,:DCtxSetUp,189126,189126,0,0,3,,:3,:DCtxSetUp
1846915122,1847128865,213743,11710,202033,:VecSet,189126,189126,0,3,4,,:4,:VecSet
1846916922,1846922972,6050,0,6050,:DCtxCreate,189126,189126,1,0,5,4,:4:5,--:DCtxCreate
1846925212,1846925772,560,0,560,:DCtxSetDevice,189126,189126,1,0,6,4,:4:6,--:DCtxSetDevice
1846926132,1846931232,5100,0,5100,:DCtxSetUp,189126,189126,1,0,7,4,:4:7,--:DCtxSetUp
1847131275,1847165686,34411,0,34411,:KSPSetUp,189126,189126,0,0,8,,:8,:KSPSetUp
1847170386,1847172256,1870,0,1870,:PCSetUp,189126,189126,0,0,9,,:9,:PCSetUp
1847173236,2166139949,318966713,315335299,3631414,:KSPSolve,189126,189126,0,5693,10,,:10,:KSPSolve
1847174826,1848845941,1671115,0,1671115,:VecCopy,189126,189126,1,0,11,10,:10:11,--:VecCopy
1848848121,1867241728,18393607,9217468,9176139,:PCApply,189126,189126,1,5,12,10,:10:12,--:PCApply
1857913028,1857931608,18580,0,18580,:VecCUDACopyTo,189126,189126,2,0,13,12,:10:12:13,----:VecCUDACopyTo
1857969169,1866845412,8876243,0,8876243,CCCL:thrust::transform,189126,189126,2,0,15,12,:10:12:15,----CCCL:thrust::transform
1866848162,1866924593,76431,0,76431,:VecCUDACopyFrom,189126,189126,2,0,16,12,:10:12:16,----:VecCUDACopyFrom
1866925243,1866931584,6341,0,6341,:DCtxSync,189126,189126,2,0,17,12,:10:12:17,----:DCtxSync
